,,OLS,2SLS,Sample Size
k,coef,-0.6225356534307468,-0.7136849579242653,5902
k,se,0.08445414919552373,0.09006723300809702,
1,coef,-0.8456777441843022,-0.8672110365371858,6635
1,se,0.07988895042749085,0.09729391081517276,
2,coef,,,
2,se,,,
3,coef,-0.6176607092642162,-0.8036042184500471,6110
3,se,0.08063720061825717,0.10720150576048941,
